,PC,Address,Recency,Frequency
29246,0xfc28d9,0xb74c6034,136,463
29247,0xfc28dc,0xaf8050,138,463
29248,0xfc28df,0xb74c6198,134,463
29249,0xfc28e8,0xaf8048,136,463
29250,0xfc28f1,0xb74c6170,134,463
29251,0xfc28fc,0xb74c616c,134,463
29252,0xfc2902,0xaf30f8,2,20575
29253,0xfc2940,0xaf3694,2,20575
29254,0xfc2947,0xaf369e,2,20575
29255,0xfc2954,0xaf369c,2,20575
29256,0xfc2973,0xaf3690,2,20575
29257,0xfc2978,0xbfe9cb30,578,29
29258,0xfcc5c8,0xaf3ba0,2,20575
29259,0xfcc5ca,0x5f8ad29,2,29
29260,0xfc2920,0xb74c6174,199,8
29261,0xfc2926,0xaf32a0,2,20575
29262,0xfc2940,0xaf34e4,2,20575
29263,0xfc2911,0xaf34ec,2,20575
29264,0xfc2926,0xaf3234,2,20575
29265,0xfc2940,0xaf3474,2,20575
29266,0xfc2947,0xaf347e,2,20575
29267,0xfc2954,0xaf347c,2,20575
29268,0xfc2973,0xaf3470,2,20575
29269,0xfcc5c8,0xaf3a41,2,20575
29270,0xfc2926,0xaf3218,2,20575
29271,0xfc2896,0xb74c6db8,134,421
29272,0xfc289e,0xb74c629c,136,421
29273,0xfc28c0,0xb74c6409,138,421
29274,0xfc28d6,0xb74c62c0,152,421
29275,0xfc28d9,0xb74c62bc,150,421
29276,0xfc28dc,0x4ff058,152,421
29277,0xfc28df,0xb74c6420,134,421
29278,0xfc28e8,0x4ff050,150,421
29279,0xfc28f1,0xb74c63f8,134,421
29280,0xfc28fc,0xb74c63f4,134,421
29281,0xfc2902,0x4f225c,5,11475
29282,0xfc2940,0x4f2f04,5,11475
29283,0xfc2911,0x4f2f0c,7,11475
29284,0xfc2920,0xb74c63fc,226,8
29285,0xfc2926,0x4f2530,5,11475
29286,0xfc2940,0x4f2754,5,11475
29287,0xfc2911,0x4f275c,5,11475
29288,0xfc2926,0x4f2344,5,11475
29289,0xfc2896,0xb74c6dbc,132,426
29290,0xfc289e,0xb74c652c,134,426
29291,0xfc28c0,0xb74c6699,360,103
29292,0xfc28d6,0xb74c6550,135,426
29293,0xfc28d9,0xb74c654c,133,426
29294,0xfc28dc,0x60a4d78,135,426
29295,0xfc28df,0xb74c66b0,132,426
29296,0xfc28e8,0x60a4d70,133,426
29297,0xfc28f1,0xb74c6688,132,426
29298,0xfc28fc,0xb74c6684,132,426
29299,0xfc2902,0x5f7da34,0,299327
29300,0xfc2940,0x5f8473c,1,62327
29301,0xfc2947,0x5f84746,0,299327
29302,0xfc2954,0x5f84744,1,62328
29303,0xfc2973,0x5f84738,0,299327
29304,0xfc2978,0xbfe9cb30,576,215
29305,0xfcc5c8,0x5f8bd0e,0,299327
29306,0xfcc5ca,0x5f8ad29,0,299327
29307,0xfc2920,0xb74c668c,148,426
29308,0xfc2926,0x5f7f298,0,299327
29309,0xfc2940,0x5f83dbc,2,84
29310,0xfc2947,0x5f83dc6,0,299327
29311,0xfc2954,0x5f83dc4,1,43
