,PC,Address,Recency,Frequency
71525,0xb6561e49,0xbf88800c,26,106
71526,0xb6561e4c,0xbf887a58,7,106
71527,0xb6561e52,0xbf887a80,13,54
71528,0xb6561e5a,0xbf888066,10,105
71529,0xb6561e60,0xbf8880b4,14,106
71530,0xb6588d06,0xbf8879e8,49,3
71531,0xb6588d16,0xbf888125,1,1400
71532,0xb6588d16,0xbf888126,1,1400
71533,0xb6588d16,0xbf888127,1,1400
71534,0xb6588d16,0xbf888128,1,1400
71535,0xb6588d16,0xbf888129,1,1400
71536,0xb6561e8e,0xbf887b74,4,31
71537,0xb6561e94,0xbf887a8c,4,1
71538,0xb6561ea1,0xbf888014,21,24
71539,0xb6561711,0xbf887a20,3,1183
71540,0xb6561717,0x80554c1,0,180505
71541,0xb6561722,0xbf887ae3,5,24
71542,0xb656172d,0xb66420ec,10,1187
71543,0xb6561734,0xb6641f74,10,1187
71544,0xb656173b,0xbf887a38,3,1179
71545,0xb6561741,0xbf887b54,5,91
71546,0xb656174b,0xbf887aa8,2,1187
71547,0xb6561755,0xbf887aac,2,1187
71548,0xb656175f,0xbf887a88,2,1187
71549,0xb6561765,0xbf887ab0,2,1187
71550,0xb656176f,0xbf887ab4,2,1187
71551,0xb6561779,0xbf887ab8,2,1187
71552,0xb6561783,0xbf887abc,2,1187
71553,0xb656178d,0xbf887ac0,2,1187
71554,0xb6561797,0xbf887ac4,5,10
71555,0xb65617a1,0xbf887ac8,2,1187
71556,0xb65617ab,0xbf887b64,5,20
71557,0xb65617b5,0xbf887b6c,5,9
71558,0xb65617bf,0xbf887acc,2,1187
71559,0xb65617c9,0xbf887ad0,2,1187
71560,0xb6561eaf,0xbf8880fc,6,933
71561,0xb65650c3,0xbf887a08,35,2
71562,0xb6592c23,0x805858c,12,39
71563,0xb6592c39,0x8058590,6,1412
71564,0xb65650cb,0xbf887ae8,2,1191
71565,0xb65650d5,0xbf887ae4,14,2
71566,0xb6564cdd,0xbf88800c,25,7
71567,0xb6564ce0,0xbf887a58,6,112
71568,0xb6564ce6,0xbf888066,9,113
71569,0xb6564cf0,0xbf8880b4,13,112
71570,0xb6564cf3,0xbf887a10,25,10
71571,0xb6564cf7,0xbf887a0c,20,13
71572,0xb6564d01,0xb6661b3c,24,111
71573,0xb6588ca0,0xbf887a00,21,41
71574,0xb6588ca5,0xbf8879fc,21,39
71575,0xb6588ca6,0xbf8879f8,21,37
71576,0xb6588ca7,0xbf8879f4,21,35
71577,0xb6588cae,0xbf8879d8,22,1
71578,0xb6588cc7,0xbf8879ec,18,7
71579,0xb6588cd3,0xbf888034,17,23
71580,0xb6588cd6,0xbf888038,9,111
71581,0xb6588ce7,0xbf8879f0,32,1
71582,0xb6588d06,0xbf8879e8,43,3
71583,0xb6588d16,0xbf88812a,1,1308
71584,0xb6588d10,0x805858d,4,1412
71585,0xb6588d16,0xbf88812b,1,1308
71586,0xb6588d10,0x805858e,4,1412
71587,0xb6588d16,0xbf88812c,1,1308
71588,0xb6588d10,0x805858f,4,1412
71589,0xb6588d16,0xbf88812d,1,1308
71590,0xb656363f,0xbf887a7c,15,1
71591,0xb6561e20,0xbf887b54,4,1096
71592,0xb6561e2e,0xbf887b78,4,1088
71593,0xb6561e34,0xbf887a2c,3,1022
71594,0xb657a949,0xbf8879e4,13,1
71595,0xb657a960,0x80554c2,2,2
71596,0xb657a96b,0xbf887fdc,37,3
71597,0xb657a979,0x80554c3,2,2
71598,0xb657a979,0x80554c4,2,2
71599,0xb657a979,0x80554c5,2,2
71600,0xb657a979,0x80554c6,2,2
71601,0xb657a979,0x80554c7,2,2
71602,0xb657a979,0x80554c8,2,2
71603,0xb657a979,0x80554c9,2,2
71604,0xb657a979,0x80554ca,2,2
71605,0xb657a979,0x80554cb,2,2
71606,0xb657a979,0x80554cc,2,2
71607,0xb657a979,0x80554cd,1,83
71608,0xb6561e49,0xbf88800c,23,78
71609,0xb6561e4c,0xbf887a58,5,1000
71610,0xb6561e52,0xbf887a80,9,72
71611,0xb6561e5a,0xbf888066,8,865
71612,0xb6561e60,0xbf8880b4,12,123
71613,0xb6561e6e,0xb6661b3c,23,1001
71614,0xb6588cae,0xbf8879d8,19,1
71615,0xb6588cc7,0xbf8879ec,15,7
71616,0xb6588cd3,0xbf888034,15,44
71617,0xb6588cd6,0xbf888038,8,65
71618,0xb6588ce7,0xbf8879f0,26,1
71619,0xb6588d06,0xbf8879e8,38,3
71620,0xb6588d16,0xbf88812e,1,1301
71621,0xb6588d16,0xbf88812f,1,1301
71622,0xb6588d16,0xbf888130,1,1301
71623,0xb6588d16,0xbf888131,1,1301
71624,0xb6588d16,0xbf888132,1,1400
71625,0xb6588d16,0xbf888133,1,1400
71626,0xb6588d16,0xbf888134,1,1400
71627,0xb6588d16,0xbf888135,1,1400
71628,0xb6588d16,0xbf888136,1,1400
71629,0xb6588d10,0x80554cb,0,180505
71630,0xb6588d16,0xbf888137,1,1400
71631,0xb6588d10,0x80554cc,0,180505
71632,0xb6588d16,0xbf888138,1,1400
71633,0xb6588d8f,0xbf8879f8,16,913
71634,0xb6588d90,0xbf8879fc,16,914
71635,0xb6588d91,0xbf887a00,16,906
71636,0xb6588d92,0xbf887a04,20,904
71637,0xb6561e79,0xbf887a80,8,953
71638,0xb6561e7f,0xbf887a7c,13,1
71639,0xb6561e85,0x80554cd,0,180505
71640,0xb6561931,0xbf88800c,22,755
71641,0xb6561934,0xbf888020,7,773
71642,0xb656194a,0xbf887a98,2,914
71643,0xb65617ee,0xbf887ff8,6,755
71644,0xb65617ef,0xbf887ffc,6,758
71645,0xb65617f0,0xbf888000,6,761
71646,0xb65617f1,0xbf888004,10,107
71647,0xb65617f2,0xbf888008,9,736
71648,0xb657e334,0xbf888038,7,773
71649,0xb657e33c,0xbf888139,1,1375
71650,0xb657e34a,0xbf8880c0,12,42
71651,0xb657e34d,0xbf8880c4,6,24
71652,0xb657e350,0xbf8880c8,6,22
71653,0xb657e355,0xbf8880cc,6,20
