,PC,Address,Recency,Frequency
15949,0xb7fb2fce,0xb6532bfb,5,65
15950,0xb7fb2fd9,0xbf88aca4,1616,1
15951,0xb7fb2ff9,0xb6532bfc,5,65
15952,0xb7fb2e79,0xb7fc4864,136,359
15953,0xb7fb2e7f,0x80482a4,3,53204
15954,0xb7fb2e84,0xbf88acb8,852,65
15955,0xb7fb2e90,0xbf88ac80,204,1
15956,0xb7fb2ac0,0xbf88ac5c,469,125
15957,0xb7fb2ace,0xbf88ac58,460,121
15958,0xb7fb2ad1,0x8048584,4,158
15959,0xb7fb2ad6,0xbf88ac28,774,1
15960,0xb7fb2b02,0x804858e,3,53204
15961,0xb7fb2b11,0x804858c,1,117
15962,0xb7fb2c07,0x8048580,1,65386
15963,0xb7fb2c09,0xbf88ac30,298,6
15964,0xb7fb2c0d,0xbf88ac2c,298,6
15965,0xb7fbe6b0,0xbf88ac24,294,36
15966,0xb7fbe6b3,0xbf88ac20,294,34
15967,0xb7fbe6b4,0xbf88ac1c,294,32
15968,0xb7fbe6be,0xbf88ac18,2823,2
15969,0xb7fbe6c1,0x8048a08,3,65400
15970,0xb7fbe6cc,0xb6532bf6,4,53352
15971,0xb7fbe6c1,0x8048a09,3,65397
15972,0xb7fbe6cc,0xb6532bf7,4,53352
15973,0xb7fbe6c1,0x8048a0a,3,65394
15974,0xb7fbe6cc,0xb6532bf8,4,53352
15975,0xb7fbe6c1,0x8048a0b,3,65391
15976,0xb7fbe6cc,0xb6532bf9,4,53352
15977,0xb7fbe6c1,0x8048a0c,3,65388
15978,0xb7fbe6cc,0xb6532bfa,4,53352
15979,0xb7fbe6c1,0x8048a0d,3,65385
15980,0xb7fbe6cc,0xb6532bfb,4,53352
15981,0xb7fbe6c1,0x8048a0e,3,65382
15982,0xb7fbe6cc,0xb6532bfc,4,53352
15983,0xb7fb2b32,0xb7fc4884,8,2898
15984,0xb7fb2b38,0xbf88ac3c,481,5
15985,0xb7fb2b48,0x8048b88,1,65336
15986,0xb7fb2b4c,0xbf88ac40,389,464
15987,0xb7fb2b58,0xb7fc4874,40,24864
15988,0xb7fb2b61,0xb6667334,61,24864
15989,0xb7fb2b64,0xb6667604,171,136
15990,0xb7fb2b69,0xb6667330,31,24864
15991,0xb7fb2b6b,0xb6667600,126,463
15992,0xb7fb2b70,0xbf88ac30,296,5
15993,0xb7fbe6c1,0x8048b60,31,24864
15994,0xb7fbe6cc,0xb6536cd4,126,462
15995,0xb7fbe6c1,0x8048b61,31,24864
15996,0xb7fbe6cc,0xb6536cd5,126,462
15997,0xb7fbe6c1,0x8048b62,31,24864
15998,0xb7fbe6cc,0xb6536cd6,126,462
15999,0xb7fbe6c1,0x8048b63,31,24864
16000,0xb7fbe6cc,0xb6536cd7,126,462
16001,0xb7fbe6c1,0x8048b64,31,24864
16002,0xb7fbe6cc,0xb6536cd8,126,462
16003,0xb7fbe6c1,0x8048b65,31,24864
16004,0xb7fbe6cc,0xb6536cd9,126,462
16005,0xb7fbe6c1,0x8048b66,31,24864
16006,0xb7fbe6cc,0xb6536cda,126,462
16007,0xb7fbe6c1,0x8048b67,31,24864
16008,0xb7fbe6cc,0xb6536cdb,126,462
16009,0xb7fbe6c1,0x8048b68,31,24864
16010,0xb7fbe6cc,0xb6536cdc,126,462
16011,0xb7fbe6c1,0x8048b69,30,24864
16012,0xb7fbe6cc,0xb6536cdd,126,462
16013,0xb7fb2de8,0x804858c,0,180505
16014,0xb7fb2e16,0xbf88acec,192,138
